Wavelength (nm),GaAs-EQE (%)
9.50E+02,0
8.98E+02,8.20E-01
8.95E+02,2.87E+00
8.91E+02,5.94E+00
8.88E+02,9.63E+00
8.84E+02,1.27E+01
8.80E+02,1.56E+01
8.80E+02,1.82E+01
8.79E+02,2.15E+01
8.79E+02,2.42E+01
8.78E+02,2.75E+01
8.76E+02,3.11E+01
8.75E+02,3.48E+01
8.75E+02,3.81E+01
8.74E+02,4.41E+01
8.72E+02,4.82E+01
8.70E+02,5.43E+01
8.70E+02,5.84E+01
8.68E+02,6.48E+01
8.66E+02,7.25E+01
8.64E+02,7.85E+01
8.63E+02,8.48E+01
8.60E+02,8.87E+01
8.55E+02,9.18E+01
8.51E+02,9.32E+01
8.32E+02,9.39E+01
8.05E+02,9.41E+01
7.89E+02,9.49E+01
7.73E+02,9.61E+01
7.57E+02,9.57E+01
7.34E+02,9.61E+01
7.17E+02,9.67E+01
7.03E+02,9.77E+01
6.93E+02,9.71E+01
6.83E+02,9.61E+01
6.74E+02,9.73E+01
6.67E+02,9.88E+01
6.45E+02,9.84E+01
6.31E+02,9.88E+01
6.19E+02,9.88E+01
5.96E+02,9.98E+01
5.82E+02,9.98E+01
5.72E+02,9.92E+01
5.61E+02,9.84E+01
5.43E+02,9.88E+01
5.25E+02,9.92E+01
5.09E+02,9.82E+01
4.92E+02,9.69E+01
4.65E+02,9.49E+01
4.47E+02,9.28E+01
4.31E+02,9.04E+01
4.19E+02,8.71E+01
4.11E+02,8.40E+01
4.01E+02,8.05E+01
3.92E+02,7.73E+01
3.84E+02,7.46E+01
3.78E+02,7.19E+01
3.74E+02,6.86E+01
3.71E+02,6.68E+01
3.70E+02,6.50E+01
3.68E+02,6.31E+01
3.66E+02,6.09E+01
3.63E+02,5.84E+01
3.62E+02,5.53E+01
3.59E+02,5.20E+01
3.55E+02,4.80E+01
3.50E+02,4.34E+01
3.47E+02,3.91E+01
3.44E+02,3.63E+01
3.40E+02,3.26E+01
3.39E+02,3.01E+01
3.36E+02,2.79E+01
3.31E+02,2.30E+01
3.27E+02,1.89E+01
3.25E+02,1.50E+01
3.17E+02,1.19E+01
3.08E+02,9.63E+00
3.01E+02,8.40E+00
