day_and_time ,Gh_irradiance 
2014-12-31 0:00,0
2014-12-31 1:00,0
2014-12-31 2:00,0
2014-12-31 3:00,0
2014-12-31 4:00,0
2014-12-31 5:00,0
2014-12-31 6:00,0
2014-12-31 7:00,0
2014-12-31 8:00,12.481
2014-12-31 9:00,77.085
2014-12-31 10:00,184.425
2014-12-31 11:00,238.379
2014-12-31 12:00,238.976
2014-12-31 13:00,193.259
2014-12-31 14:00,91.947
2014-12-31 15:00,16.509
2014-12-31 16:00,0
2014-12-31 17:00,0
2014-12-31 18:00,0
2014-12-31 19:00,0
2014-12-31 20:00,0
2014-12-31 21:00,0
2014-12-31 22:00,0
2014-12-31 23:00,0
2015-01-01 0:00,0
2015-01-01 1:00,0
2015-01-01 2:00,0
2015-01-01 3:00,0
2015-01-01 4:00,0
2015-01-01 5:00,0
2015-01-01 6:00,0
2015-01-01 7:00,0
2015-01-01 8:00,5.946
2015-01-01 9:00,20.42
2015-01-01 10:00,47.73
2015-01-01 11:00,83.211
2015-01-01 12:00,75.157
2015-01-01 13:00,42.022
2015-01-01 14:00,20.915
2015-01-01 15:00,7.869
2015-01-01 16:00,0
2015-01-01 17:00,0
2015-01-01 18:00,0
2015-01-01 19:00,0
2015-01-01 20:00,0
2015-01-01 21:00,0
2015-01-01 22:00,0
2015-01-01 23:00,0
2015-01-02 0:00,0
2015-01-02 1:00,0
2015-01-02 2:00,0
2015-01-02 3:00,0
2015-01-02 4:00,0
2015-01-02 5:00,0
2015-01-02 6:00,0
2015-01-02 7:00,0
2015-01-02 8:00,8.861
2015-01-02 9:00,59.405
2015-01-02 10:00,172.524
2015-01-02 11:00,228.419
2015-01-02 12:00,235
2015-01-02 13:00,198.38
2015-01-02 14:00,118.429
2015-01-02 15:00,26.499
2015-01-02 16:00,0
2015-01-02 17:00,0
2015-01-02 18:00,0
2015-01-02 19:00,0
2015-01-02 20:00,0
2015-01-02 21:00,0
2015-01-02 22:00,0
2015-01-02 23:00,0
2015-01-03 0:00,0
2015-01-03 1:00,0
2015-01-03 2:00,0
2015-01-03 3:00,0
2015-01-03 4:00,0
2015-01-03 5:00,0
2015-01-03 6:00,0
2015-01-03 7:00,0
2015-01-03 8:00,2.243
