day_and_time ,gh_irradiance 
2014/12/31 00:00:00,0
2014/12/31 01:00:00,0
2014/12/31 02:00:00,0
2014/12/31 03:00:00,0
2014/12/31 04:00:00,0
2014/12/31 05:00:00,0
2014/12/31 06:00:00,0
2014/12/31 07:00:00,0
2014/12/31 08:00:00,12.481
2014/12/31 09:00:00,77.085
2014/12/31 10:00:00,184.425
2014/12/31 11:00:00,238.379
2014/12/31 12:00:00,238.976
2014/12/31 13:00:00,193.259
2014/12/31 14:00:00,91.947
2014/12/31 15:00:00,16.509
2014/12/31 16:00:00,0
2014/12/31 17:00:00,0
2014/12/31 18:00:00,0
2014/12/31 19:00:00,0
2014/12/31 20:00:00,0
2014/12/31 21:00:00,0
2014/12/31 22:00:00,0
2014/12/31 23:00:00,0
2015/01/01 00:00:00,0
2015/01/01 01:00:00,0
2015/01/01 02:00:00,0
2015/01/01 03:00:00,0
2015/01/01 04:00:00,0
2015/01/01 05:00:00,0
2015/01/01 06:00:00,0
2015/01/01 07:00:00,0
2015/01/01 08:00:00,5.946
2015/01/01 09:00:00,20.42
2015/01/01 10:00:00,47.73
2015/01/01 11:00:00,83.211
2015/01/01 12:00:00,75.157
2015/01/01 13:00:00,42.022
2015/01/01 14:00:00,20.915
2015/01/01 15:00:00,7.869
2015/01/01 16:00:00,0
2015/01/01 17:00:00,0
2015/01/01 18:00:00,0
2015/01/01 19:00:00,0
2015/01/01 20:00:00,0
2015/01/01 21:00:00,0
2015/01/01 22:00:00,0
2015/01/01 23:00:00,0
2015/01/02 00:00:00,0
2015/01/02 01:00:00,0
2015/01/02 02:00:00,0
2015/01/02 03:00:00,0
2015/01/02 04:00:00,0
2015/01/02 05:00:00,0
2015/01/02 06:00:00,0
2015/01/02 07:00:00,0
2015/01/02 08:00:00,8.861
2015/01/02 09:00:00,59.405
2015/01/02 10:00:00,172.524
2015/01/02 11:00:00,228.419
2015/01/02 12:00:00,235
2015/01/02 13:00:00,198.38
2015/01/02 14:00:00,118.429
2015/01/02 15:00:00,26.499
2015/01/02 16:00:00,0
2015/01/02 17:00:00,0
2015/01/02 18:00:00,0
2015/01/02 19:00:00,0
2015/01/02 20:00:00,0
2015/01/02 21:00:00,0
2015/01/02 22:00:00,0
2015/01/02 23:00:00,0
2015/01/03 00:00:00,0
2015/01/03 01:00:00,0
2015/01/03 02:00:00,0
2015/01/03 03:00:00,0
2015/01/03 04:00:00,0
2015/01/03 05:00:00,0
2015/01/03 06:00:00,0
2015/01/03 07:00:00,0
2015/01/03 08:00:00,2.243
2015/01/03 09:00:00,14.049
2015/01/03 10:00:00,36.037
2015/01/03 11:00:00,28.453
2015/01/03 12:00:00,32
2015/01/03 13:00:00,30.039
2015/01/03 14:00:00,19.459
2015/01/03 15:00:00,2.678
2015/01/03 16:00:00,0
