time,irradiance_direct,irradiance_diffuse,ghl_sarah_irradiance
2015-01-01 0:00,0,0,0
2015-01-01 1:00,0,0,0
2015-01-01 2:00,0,0,0
2015-01-01 3:00,0,0,0
2015-01-01 4:00,0,0,0
2015-01-01 5:00,0,0,0
2015-01-01 6:00,0,0,0
2015-01-01 7:00,0,0,0
2015-01-01 8:00,0,0,0
2015-01-01 9:00,0,0.016,0.016
2015-01-01 10:00,0.004,0.059,0.063
2015-01-01 11:00,0.004,0.079,0.083
2015-01-01 12:00,0.009,0.099,0.108
2015-01-01 13:00,0.011,0.093,0.104
2015-01-01 14:00,0.011,0.061,0.072
2015-01-01 15:00,0,0.007,0.007
2015-01-01 16:00,0,0,0
2015-01-01 17:00,0,0,0
2015-01-01 18:00,0,0,0
2015-01-01 19:00,0,0,0
2015-01-01 20:00,0,0,0
2015-01-01 21:00,0,0,0
2015-01-01 22:00,0,0,0
2015-01-01 23:00,0,0,0
2015-01-02 0:00,0,0,0
2015-01-02 1:00,0,0,0
2015-01-02 2:00,0,0,0
2015-01-02 3:00,0,0,0
2015-01-02 4:00,0,0,0
2015-01-02 5:00,0,0,0
2015-01-02 6:00,0,0,0
2015-01-02 7:00,0,0,0
2015-01-02 8:00,0,0,0
2015-01-02 9:00,0.018,0.025,0.043
2015-01-02 10:00,0.072,0.054,0.126
2015-01-02 11:00,0.116,0.071,0.187
2015-01-02 12:00,0.128,0.081,0.209
2015-01-02 13:00,0.094,0.087,0.181
2015-01-02 14:00,0.047,0.071,0.118
2015-01-02 15:00,0.006,0.032,0.038
2015-01-02 16:00,0,0,0
2015-01-02 17:00,0,0,0
2015-01-02 18:00,0,0,0
2015-01-02 19:00,0,0,0
2015-01-02 20:00,0,0,0
2015-01-02 21:00,0,0,0
2015-01-02 22:00,0,0,0
2015-01-02 23:00,0,0,0
2015-01-03 0:00,0,0,0
2015-01-03 1:00,0,0,0
2015-01-03 2:00,0,0,0
2015-01-03 3:00,0,0,0
2015-01-03 4:00,0,0,0
2015-01-03 5:00,0,0,0
2015-01-03 6:00,0,0,0
2015-01-03 7:00,0,0,0
2015-01-03 8:00,0,0,0
2015-01-03 9:00,0,0.004,0.004
2015-01-03 10:00,0.004,0.039,0.043
2015-01-03 11:00,0,0.019,0.019
2015-01-03 12:00,0.001,0.067,0.068
2015-01-03 13:00,0.002,0.068,0.07
2015-01-03 14:00,0.016,0.067,0.083
2015-01-03 15:00,0.002,0.024,0.026
2015-01-03 16:00,0,0,0
2015-01-03 17:00,0,0,0
2015-01-03 18:00,0,0,0
2015-01-03 19:00,0,0,0
2015-01-03 20:00,0,0,0
2015-01-03 21:00,0,0,0
2015-01-03 22:00,0,0,0
