time,local_time,radiation_surface
1/1/2014 0:00,1/1/2014 0:00,0
1/1/2014 1:00,1/1/2014 1:00,0
1/1/2014 2:00,1/1/2014 2:00,0
1/1/2014 3:00,1/1/2014 3:00,0
1/1/2014 4:00,1/1/2014 4:00,0
1/1/2014 5:00,1/1/2014 5:00,0
1/1/2014 6:00,1/1/2014 6:00,0
1/1/2014 7:00,1/1/2014 7:00,0
1/1/2014 8:00,1/1/2014 8:00,1.518
1/1/2014 9:00,1/1/2014 9:00,13.751
1/1/2014 10:00,1/1/2014 10:00,22.029
1/1/2014 11:00,1/1/2014 11:00,27.203
1/1/2014 12:00,1/1/2014 12:00,24.011
1/1/2014 13:00,1/1/2014 13:00,17.72
1/1/2014 14:00,1/1/2014 14:00,9.345
1/1/2014 15:00,1/1/2014 15:00,0.716
1/1/2014 16:00,1/1/2014 16:00,0
1/1/2014 17:00,1/1/2014 17:00,0
1/1/2014 18:00,1/1/2014 18:00,0
1/1/2014 19:00,1/1/2014 19:00,0
1/1/2014 20:00,1/1/2014 20:00,0
1/1/2014 21:00,1/1/2014 21:00,0
1/1/2014 22:00,1/1/2014 22:00,0
1/1/2014 23:00,1/1/2014 23:00,0
1/2/2014 0:00,1/2/2014 0:00,0
1/2/2014 1:00,1/2/2014 1:00,0
1/2/2014 2:00,1/2/2014 2:00,0
1/2/2014 3:00,1/2/2014 3:00,0
1/2/2014 4:00,1/2/2014 4:00,0
1/2/2014 5:00,1/2/2014 5:00,0
1/2/2014 6:00,1/2/2014 6:00,0
1/2/2014 7:00,1/2/2014 7:00,0
1/2/2014 8:00,1/2/2014 8:00,4.757
1/2/2014 9:00,1/2/2014 9:00,40.907
1/2/2014 10:00,1/2/2014 10:00,122.559
1/2/2014 11:00,1/2/2014 11:00,187.103
1/2/2014 12:00,1/2/2014 12:00,198.759
1/2/2014 13:00,1/2/2014 13:00,160.725
1/2/2014 14:00,1/2/2014 14:00,91.372
1/2/2014 15:00,1/2/2014 15:00,18.164
1/2/2014 16:00,1/2/2014 16:00,0
1/2/2014 17:00,1/2/2014 17:00,0
1/2/2014 18:00,1/2/2014 18:00,0
1/2/2014 19:00,1/2/2014 19:00,0
1/2/2014 20:00,1/2/2014 20:00,0
1/2/2014 21:00,1/2/2014 21:00,0
1/2/2014 22:00,1/2/2014 22:00,0
1/2/2014 23:00,1/2/2014 23:00,0
1/3/2014 0:00,1/3/2014 0:00,0
1/3/2014 1:00,1/3/2014 1:00,0
1/3/2014 2:00,1/3/2014 2:00,0
1/3/2014 3:00,1/3/2014 3:00,0
1/3/2014 4:00,1/3/2014 4:00,0
1/3/2014 5:00,1/3/2014 5:00,0
1/3/2014 6:00,1/3/2014 6:00,0
1/3/2014 7:00,1/3/2014 7:00,0
1/3/2014 8:00,1/3/2014 8:00,4.584
1/3/2014 9:00,1/3/2014 9:00,36.619
1/3/2014 10:00,1/3/2014 10:00,80.061
1/3/2014 11:00,1/3/2014 11:00,113.853
1/3/2014 12:00,1/3/2014 12:00,125.256
1/3/2014 13:00,1/3/2014 13:00,96.75
1/3/2014 14:00,1/3/2014 14:00,42.268
1/3/2014 15:00,1/3/2014 15:00,7.725
1/3/2014 16:00,1/3/2014 16:00,0
1/3/2014 17:00,1/3/2014 17:00,0
1/3/2014 18:00,1/3/2014 18:00,0
1/3/2014 19:00,1/3/2014 19:00,0
1/3/2014 20:00,1/3/2014 20:00,0
1/3/2014 21:00,1/3/2014 21:00,0
1/3/2014 22:00,1/3/2014 22:00,0
1/3/2014 23:00,1/3/2014 23:00,0
1/4/2014 0:00,1/4/2014 0:00,0
1/4/2014 1:00,1/4/2014 1:00,0
1/4/2014 2:00,1/4/2014 2:00,0
1/4/2014 3:00,1/4/2014 3:00,0
1/4/2014 4:00,1/4/2014 4:00,0
1/4/2014 5:00,1/4/2014 5:00,0
1/4/2014 6:00,1/4/2014 6:00,0
1/4/2014 7:00,1/4/2014 7:00,0
1/4/2014 8:00,1/4/2014 8:00,1.172
1/4/2014 9:00,1/4/2014 9:00,9.622
1/4/2014 10:00,1/4/2014 10:00,19.07
1/4/2014 11:00,1/4/2014 11:00,48.011
1/4/2014 12:00,1/4/2014 12:00,91.206
1/4/2014 13:00,1/4/2014 13:00,70.182
1/4/2014 14:00,1/4/2014 14:00,32.612
1/4/2014 15:00,1/4/2014 15:00,5.401
1/4/2014 16:00,1/4/2014 16:00,0
1/4/2014 17:00,1/4/2014 17:00,0
1/4/2014 18:00,1/4/2014 18:00,0
1/4/2014 19:00,1/4/2014 19:00,0
1/4/2014 20:00,1/4/2014 20:00,0
1/4/2014 21:00,1/4/2014 21:00,0
1/4/2014 22:00,1/4/2014 22:00,0
1/4/2014 23:00,1/4/2014 23:00,0
1/5/2014 0:00,1/5/2014 0:00,0
1/5/2014 1:00,1/5/2014 1:00,0
1/5/2014 2:00,1/5/2014 2:00,0
1/5/2014 3:00,1/5/2014 3:00,0
1/5/2014 4:00,1/5/2014 4:00,0
1/5/2014 5:00,1/5/2014 5:00,0
1/5/2014 6:00,1/5/2014 6:00,0
1/5/2014 7:00,1/5/2014 7:00,0
1/5/2014 8:00,1/5/2014 8:00,5.589
1/5/2014 9:00,1/5/2014 9:00,33.657
1/5/2014 10:00,1/5/2014 10:00,59.776
1/5/2014 11:00,1/5/2014 11:00,54.373
1/5/2014 12:00,1/5/2014 12:00,99.749
1/5/2014 13:00,1/5/2014 13:00,53.958
1/5/2014 14:00,1/5/2014 14:00,32.493
1/5/2014 15:00,1/5/2014 15:00,8.804
1/5/2014 16:00,1/5/2014 16:00,0
1/5/2014 17:00,1/5/2014 17:00,0
1/5/2014 18:00,1/5/2014 18:00,0
1/5/2014 19:00,1/5/2014 19:00,0
1/5/2014 20:00,1/5/2014 20:00,0
1/5/2014 21:00,1/5/2014 21:00,0
1/5/2014 22:00,1/5/2014 22:00,0
1/5/2014 23:00,1/5/2014 23:00,0
1/6/2014 0:00,1/6/2014 0:00,0
1/6/2014 1:00,1/6/2014 1:00,0
1/6/2014 2:00,1/6/2014 2:00,0
1/6/2014 3:00,1/6/2014 3:00,0
1/6/2014 4:00,1/6/2014 4:00,0
1/6/2014 5:00,1/6/2014 5:00,0
1/6/2014 6:00,1/6/2014 6:00,0
1/6/2014 7:00,1/6/2014 7:00,0
1/6/2014 8:00,1/6/2014 8:00,8.403
1/6/2014 9:00,1/6/2014 9:00,59.332
1/6/2014 10:00,1/6/2014 10:00,119.693
1/6/2014 11:00,1/6/2014 11:00,156.375
1/6/2014 12:00,1/6/2014 12:00,140.713
1/6/2014 13:00,1/6/2014 13:00,108.774
1/6/2014 14:00,1/6/2014 14:00,54.444
1/6/2014 15:00,1/6/2014 15:00,10.755
1/6/2014 16:00,1/6/2014 16:00,0
1/6/2014 17:00,1/6/2014 17:00,0
1/6/2014 18:00,1/6/2014 18:00,0
1/6/2014 19:00,1/6/2014 19:00,0
1/6/2014 20:00,1/6/2014 20:00,0
1/6/2014 21:00,1/6/2014 21:00,0
1/6/2014 22:00,1/6/2014 22:00,0
1/6/2014 23:00,1/6/2014 23:00,0
1/7/2014 0:00,1/7/2014 0:00,0
1/7/2014 1:00,1/7/2014 1:00,0
1/7/2014 2:00,1/7/2014 2:00,0
1/7/2014 3:00,1/7/2014 3:00,0
1/7/2014 4:00,1/7/2014 4:00,0
1/7/2014 5:00,1/7/2014 5:00,0
1/7/2014 6:00,1/7/2014 6:00,0
1/7/2014 7:00,1/7/2014 7:00,0
1/7/2014 8:00,1/7/2014 8:00,2.75
1/7/2014 9:00,1/7/2014 9:00,25.69
1/7/2014 10:00,1/7/2014 10:00,63.471
1/7/2014 11:00,1/7/2014 11:00,119.687
1/7/2014 12:00,1/7/2014 12:00,158.346
1/7/2014 13:00,1/7/2014 13:00,138.897
1/7/2014 14:00,1/7/2014 14:00,65.957
