Wavelength (nm),P-Si-EQE (%)
1.20E+03,2.26E-01
1.19E+03,2.07E+00
1.18E+03,5.56E+00
1.18E+03,1.01E+01
1.17E+03,1.50E+01
1.16E+03,2.05E+01
1.15E+03,2.67E+01
1.14E+03,3.12E+01
1.14E+03,3.71E+01
1.13E+03,4.39E+01
1.11E+03,4.98E+01
1.10E+03,5.68E+01
1.08E+03,6.25E+01
1.07E+03,6.66E+01
1.06E+03,7.12E+01
1.03E+03,7.73E+01
1.01E+03,8.20E+01
9.92E+02,8.43E+01
9.75E+02,8.63E+01
9.39E+02,8.76E+01
9.09E+02,8.92E+01
8.78E+02,9.03E+01
8.48E+02,9.09E+01
8.19E+02,9.15E+01
7.91E+02,9.23E+01
7.54E+02,9.19E+01
7.18E+02,9.25E+01
6.78E+02,9.30E+01
6.36E+02,9.23E+01
6.05E+02,9.17E+01
5.65E+02,9.09E+01
5.24E+02,8.95E+01
4.97E+02,8.73E+01
4.69E+02,8.40E+01
4.43E+02,8.03E+01
4.26E+02,7.58E+01
4.08E+02,6.99E+01
3.98E+02,6.60E+01
3.84E+02,6.15E+01
3.76E+02,5.72E+01
3.70E+02,5.26E+01
3.66E+02,4.96E+01
3.60E+02,4.57E+01
3.55E+02,4.22E+01
3.52E+02,3.95E+01
3.50E+02,3.75E+01
3.44E+02,3.38E+01
3.37E+02,2.95E+01
3.31E+02,2.46E+01
3.25E+02,2.07E+01
3.20E+02,1.68E+01
3.13E+02,1.21E+01
3.08E+02,8.81E+00
3.04E+02,5.33E+00
3.01E+02,3.89E+00
